Name,Author,User Rating,Reviews,Price,Year,Genre
10-Day Green Smoothie Cleanse,JJ Smith,4.7,17350,8,2016,Non Fiction
11/22/63: A Novel,Stephen King,4.6,2052,22,2011,Fiction
12 Rules for Life: An Antidote to Chaos,Jordan B. Peterson,4.7,18979,15,2018,Non Fiction
1984 (Signet Classics),George Orwell,4.7,21424,6,2017,Fiction
"5,000 Awesome Facts (About Everything!) (National Geographic Kids)",National Geographic Kids,4.8,7665,12,2019,Non Fiction
A Dance with Dragons (A Song of Ice and Fire),George R. R. Martin,4.4,12643,11,2011,Fiction
A Game of Thrones / A Clash of Kings / A Storm of Swords / A Feast of Crows / A Dance with Dragons,George R. R. Martin,4.7,19735,30,2014,Fiction
A Gentleman in Moscow: A Novel,Amor Towles,4.7,19699,15,2017,Fiction
"A Higher Loyalty: Truth, Lies, and Leadership",James Comey,4.7,5983,3,2018,Non Fiction
A Man Called Ove: A Novel,Fredrik Backman,4.6,23848,8,2016,Fiction
A Man Called Ove: A Novel,Fredrik Backman,4.6,23848,8,2017,Fiction
A Patriot's History of the United States: From Columbus's Great Discovery to the War on Terror,Larry Schweikart,4.6,460,2,2010,Non Fiction
A Stolen Life: A Memoir,Jaycee Dugard,4.6,4149,32,2011,Non Fiction
A Wrinkle in Time (Time Quintet),Madeleine L'Engle,4.5,5153,5,2018,Fiction
Adult Coloring Book: Stress Relieving Animal Designs,Blue Star Coloring,4.6,2925,6,2015,Non Fiction
Adult Coloring Book: Stress Relieving Patterns,Blue Star Coloring,4.4,2951,6,2015,Non Fiction
Alexander Hamilton,Ron Chernow,4.8,9198,13,2016,Non Fiction
All the Light We Cannot See,Anthony Doerr,4.6,36348,14,2014,Fiction
All the Light We Cannot See,Anthony Doerr,4.6,36348,14,2015,Fiction
Allegiant,Veronica Roth,3.9,6310,13,2013,Fiction
American Sniper: The Autobiography of the Most Lethal Sniper in U.S. Military History,Chris Kyle,4.6,15921,9,2015,Non Fiction
And the Mountains Echoed,Khaled Hosseini,4.3,12159,13,2013,Fiction
Arguing with Idiots: How to Stop Small Minds and Big Government,Glenn Beck,4.6,798,5,2009,Non Fiction
Astrophysics for People in a Hurry,Neil deGrasse Tyson,4.7,9374,9,2017,Non Fiction
"Autobiography of Mark Twain, Vol. 1",Mark Twain,4.2,491,14,2010,Non Fiction
Baby Touch and Feel: Animals,DK,4.6,5360,5,2015,Non Fiction
Balance (Angie's Extreme Stress Menders),Angie Grace,4.6,1909,11,2015,Non Fiction
Barefoot Contessa Foolproof: Recipes You Can Trust: A Cookbook,Ina Garten,4.8,1296,24,2012,Non Fiction
"Barefoot Contessa, How Easy Is That?: Fabulous Recipes & Easy Tips",Ina Garten,4.7,615,21,2010,Non Fiction
Becoming,Michelle Obama,4.8,61133,11,2018,Non Fiction
Becoming,Michelle Obama,4.8,61133,11,2019,Non Fiction
Being Mortal: Medicine and What Matters in the End,Atul Gawande,4.8,11113,15,2015,Non Fiction
Between the World and Me,Ta-Nehisi Coates,4.7,10070,13,2015,Non Fiction
Between the World and Me,Ta-Nehisi Coates,4.7,10070,13,2016,Non Fiction
Born to Run,Bruce Springsteen,4.7,3729,18,2016,Non Fiction
"Breaking Dawn (The Twilight Saga, Book 4)",Stephenie Meyer,4.6,9769,13,2009,Fiction
"Broke: The Plan to Restore Our Trust, Truth and Treasure",Glenn Beck,4.5,471,8,2010,Non Fiction
"Brown Bear, Brown Bear, What Do You See?",Bill Martin Jr.,4.9,14344,5,2017,Fiction
"Brown Bear, Brown Bear, What Do You See?",Bill Martin Jr.,4.9,14344,5,2019,Fiction
"Cabin Fever (Diary of a Wimpy Kid, Book 6)",Jeff Kinney,4.8,4505,0,2011,Fiction
Calm the F*ck Down: An Irreverent Adult Coloring Book (Irreverent Book Series),Sasha O'Hara,4.6,10369,4,2016,Non Fiction
Can't Hurt Me: Master Your Mind and Defy the Odds,David Goggins,4.8,16244,18,2019,Non Fiction
Capital in the Twenty First Century,Thomas Piketty,4.5,2884,28,2014,Non Fiction
Catching Fire (The Hunger Games),Suzanne Collins,4.7,22614,11,2010,Fiction
Catching Fire (The Hunger Games),Suzanne Collins,4.7,22614,11,2011,Fiction
Catching Fire (The Hunger Games),Suzanne Collins,4.7,22614,11,2012,Fiction
Cravings: Recipes for All the Food You Want to Eat: A Cookbook,Chrissy Teigen,4.7,4761,16,2016,Non Fiction
Crazy Love: Overwhelmed by a Relentless God,Francis Chan,4.7,1542,14,2009,Non Fiction
Crazy Love: Overwhelmed by a Relentless God,Francis Chan,4.7,1542,14,2010,Non Fiction
Crazy Love: Overwhelmed by a Relentless God,Francis Chan,4.7,1542,14,2011,Non Fiction
Crazy Rich Asians (Crazy Rich Asians Trilogy),Kevin Kwan,4.3,6143,8,2018,Fiction
Cutting for Stone,Abraham Verghese,4.6,4866,11,2010,Fiction
Cutting for Stone,Abraham Verghese,4.6,4866,11,2011,Fiction
Dear Zoo: A Lift-the-Flap Book,Rod Campbell,4.8,10922,5,2015,Fiction
Dear Zoo: A Lift-the-Flap Book,Rod Campbell,4.8,10922,5,2016,Fiction
Dear Zoo: A Lift-the-Flap Book,Rod Campbell,4.8,10922,5,2017,Fiction
Dear Zoo: A Lift-the-Flap Book,Rod Campbell,4.8,10922,5,2018,Fiction
Decision Points,George W. Bush,4.6,2137,17,2010,Non Fiction
"Delivering Happiness: A Path to Profits, Passion, and Purpose",Tony Hsieh,4.6,1651,15,2010,Non Fiction
"Diary of a Wimpy Kid: Hard Luck, Book 8",Jeff Kinney,4.8,6812,0,2013,Fiction
Diary of a Wimpy Kid: The Last Straw (Book 3),Jeff Kinney,4.8,3837,15,2009,Fiction
Diary of a Wimpy Kid: The Long Haul,Jeff Kinney,4.8,6540,22,2014,Fiction
Difficult Riddles For Smart Kids: 300 Difficult Riddles And Brain Teasers Families Will Love (Books for Smart Kids),M Prefontaine,4.6,7955,5,2019,Non Fiction
Divergent,Veronica Roth,4.6,27098,15,2013,Fiction
Divergent,Veronica Roth,4.6,27098,15,2014,Fiction
Divergent / Insurgent,Veronica Roth,4.5,17684,6,2014,Fiction
"Divine Soul Mind Body Healing and Transmission System: The Divine Way to Heal You, Humanity, Mother Earth, and Allâ€¦",Zhi Gang Sha,4.6,37,6,2009,Non Fiction
Doctor Sleep: A Novel,Stephen King,4.7,15845,13,2013,Fiction
"Dog Days (Diary of a Wimpy Kid, Book 4) (Volume 4)",Jeff Kinney,4.8,3181,12,2009,Fiction
Eclipse (Twilight Sagas),Stephenie Meyer,4.7,5505,7,2009,Fiction
Eclipse (Twilight),Stephenie Meyer,4.7,5505,18,2009,Fiction
Educated: A Memoir,Tara Westover,4.7,28729,15,2018,Non Fiction
Educated: A Memoir,Tara Westover,4.7,28729,15,2019,Non Fiction
Fahrenheit 451,Ray Bradbury,4.6,10721,8,2016,Fiction
Fahrenheit 451,Ray Bradbury,4.6,10721,8,2018,Fiction
Fantastic Beasts and Where to Find Them: The Original Screenplay (Harry Potter),J.K. Rowling,4.7,4370,15,2016,Fiction
Fear: Trump in the White House,Bob Woodward,4.4,6042,2,2018,Non Fiction
Fifty Shades Darker,E L James,4.4,23631,7,2012,Fiction
Food Rules: An Eater's Manual,Michael Pollan,4.4,1555,9,2010,Non Fiction
Frozen (Little Golden Book),RH Disney,4.7,3642,0,2014,Fiction
"Game Change: Obama and the Clintons, McCain and Palin, and the Race of a Lifetime",John Heilemann,4.4,1215,9,2010,Non Fiction
Game of Thrones Boxed Set: A Game of Thrones/A Clash of Kings/A Storm of Swords/A Feast for Crows,George R.R. Martin,4.6,5594,5,2011,Fiction
Game of Thrones Boxed Set: A Game of Thrones/A Clash of Kings/A Storm of Swords/A Feast for Crows,George R.R. Martin,4.6,5594,5,2012,Fiction
Game of Thrones Boxed Set: A Game of Thrones/A Clash of Kings/A Storm of Swords/A Feast for Crows,George R.R. Martin,4.6,5594,5,2013,Fiction
George Washington's Sacred Fire,Peter A. Lillback,4.5,408,20,2010,Non Fiction
George Washington's Secret Six: The Spy Ring That Saved the American Revolution,Brian Kilmeade,4.6,4799,16,2013,Non Fiction
Giraffes Can't Dance,Giles Andreae,4.8,14038,4,2015,Fiction
Go Set a Watchman: A Novel,Harper Lee,3.6,14982,19,2015,Fiction
Going Rogue: An American Life,Sarah Palin,4.6,1636,6,2009,Non Fiction
Good Days Start With Gratitude: A 52 Week Guide To Cultivate An Attitude Of Gratitude: Gratitude Journal,Pretty Simple Press,4.6,10141,6,2019,Non Fiction
Good to Great: Why Some Companies Make the Leap and Others Don't,Jim Collins,4.5,3457,14,2009,Non Fiction
Good Days Start With Gratitude: A 52 Week Guide To Cultivate An Attitude Of Gratitude: Gratitude Journal,Pretty Simple Press,4.6,10141,6,2019,Non Fiction
Good to Great: Why Some Companies Make the Leap and Others Don't,Jim Collins,4.5,3457,14,2009,Non Fiction
Hamilton: The Revolution,Lin-Manuel Miranda,4.9,5867,54,2016,Non Fiction
"Harry Potter and the Chamber of Secrets: The Illustrated Edition (Harry Potter, Book 2)",J.K. Rowling,4.9,19622,30,2016,Fiction
"Harry Potter and the Cursed Child, Parts 1 & 2, Special Rehearsal Edition Script",J.K. Rowling,4,23973,12,2016,Fiction
"Harry Potter and the Goblet of Fire: The Illustrated Edition (Harry Potter, Book 4) (4)",J. K. Rowling,4.9,7758,18,2019,Fiction
"Harry Potter and the Prisoner of Azkaban: The Illustrated Edition (Harry Potter, Book 3)",J.K. Rowling,4.9,3146,30,2017,Fiction
"Harry Potter and the Sorcerer's Stone: The Illustrated Edition (Harry Potter, Book 1)",J.K. Rowling,4.9,10052,22,2016,Fiction
